start	duration	text
00:00:01.360	3.12	what's up guys brady back with another
00:00:03.040	2.64	tbc video
00:00:04.480	2.88	i would say back with another
00:00:05.680	3.28	enhancement video but i realized after
00:00:07.359	2.48	making this that it actually could
00:00:08.960	2.80	pertain to
00:00:09.840	3.36	fury warriors as well i don't know a lot
00:00:11.759	2.56	about fury warriors and the information
00:00:13.200	3.28	that this video provides
00:00:14.320	3.44	could be useless uh for you guys or it
00:00:16.480	2.16	could be of some use i'm not sure if
00:00:17.760	1.92	you're playing a figure where you're
00:00:18.640	2.48	looking to learn something
00:00:19.680	3.84	uh just take this video with a grain of
00:00:21.119	4.96	salt tests that i ran were ran
00:00:23.519	4.40	ads and four enhancement shamans i've
00:00:26.080	3.52	searched the internet multiple times
00:00:27.920	3.60	to try to find a definite answer to the
00:00:29.599	3.92	question are the blacksmith axes or
00:00:31.519	3.44	hammers better for enhancement summons
00:00:33.520	2.80	i never found an answer as everyone
00:00:34.960	2.24	seems to have different opinions on
00:00:36.320	2.16	which are better
00:00:37.200	3.44	so instead of comparing people's
00:00:38.480	4.08	opinions i went and did some tests of my
00:00:40.640	3.76	own to find out the facts
00:00:42.559	3.76	i'm going to be comparing the master
00:00:44.399	2.80	hammersmith and master axe smith weapons
00:00:46.320	3.44	listed in front of you
00:00:47.200	3.36	for orc only the question are the axes
00:00:49.760	2.48	of the hammers better
00:00:50.559	4.16	really only exist because of the orc
00:00:52.239	4.56	racial i didn't test this specifically
00:00:54.719	3.52	so don't take my word for granted
00:00:56.800	3.04	but if you are not an orc i'm pretty
00:00:58.239	2.88	certain that the maces will always pull
00:00:59.840	3.12	more dps in the axes
00:01:01.120	3.60	if you are playing any race other than
00:01:02.960	3.52	orc the tests are ran
00:01:04.720	3.68	with zero percent chance of human error
00:01:06.479	4.08	as in no abilities will be used
00:01:08.400	3.20	no on-use trinkets no totems no
00:01:10.560	3.52	bloodlust
00:01:11.600	3.92	auto attacks only four separate trials
00:01:14.080	3.68	of each tier of weapon to come to an
00:01:15.520	4.00	average dps of the four different trials
00:01:17.759	3.52	both weapons have the highest ring wood
00:01:19.520	3.84	fury on at all times
00:01:21.280	3.84	tier one to two of both the axes and
00:01:23.360	3.44	hammers have crusader enchanted on them
00:01:25.119	3.28	and tier three has mongoose
00:01:26.799	3.04	it's a completely even playing field
00:01:28.400	3.44	then the only thing that comes into play
00:01:29.840	4.88	is the rng of the class itself
00:01:31.840	4.56	winfrey procs crits etc which is why i
00:01:34.720	3.36	ran four separate trials
00:01:36.400	3.12	the gear i'm wearing for the test is for
00:01:38.079	3.68	the most part just some pre-raid best
00:01:39.520	3.52	slot blues and a couple epics
00:01:41.759	2.56	if you're curious i'll throw the links
00:01:43.040	3.12	in the description for every piece of
00:01:44.320	11.52	gear that i have equipped
00:01:46.159	9.68	okay let's get to it
00:02:09.150	7.17	[Music]
00:02:21.200	2.64	thank me
00:02:30.780	20.79	[Music]
00:02:48.840	4.44	oh
00:02:51.570	12.59	[Music]
00:02:53.280	26.24	i want you to
00:03:04.159	21.85	thank you
00:03:19.520	6.49	[Music]
00:03:29.340	2.96	[Music]
00:03:30.840	23.00	oh
00:03:32.300	21.54	[Music]
00:03:56.480	3.88	[Music]
00:03:58.840	8.66	uh
00:04:00.360	7.14	[Music]
00:04:11.200	3.76	as you expected due to the nature of
00:04:13.040	3.52	enhancement shaman's rng damage the
00:04:14.959	3.20	results are pretty sporadic
00:04:16.560	3.20	even with four separate trials done for
00:04:18.160	3.52	each weapon in each tier the average for
00:04:19.759	3.68	some tiers came out actually lower or
00:04:21.680	3.12	higher than expected like the tier three
00:04:23.440	3.12	hammer being lower than the tier two
00:04:24.800	2.56	hammer and the tier two axe being lower
00:04:26.560	2.40	than the tier one
00:04:27.360	2.96	that's just how the class is enhancing
00:04:28.960	2.96	shaman's damage is very random and this
00:04:30.320	4.16	table proves it with the hammers having
00:04:31.919	4.00	an extra rng factor to it with a chance
00:04:34.479	3.52	to proc a hayst buff on top of
00:04:35.919	3.68	enhancements already very rng damage
00:04:38.000	2.64	and the results of this test the hammers
00:04:39.600	3.28	are starting to look a little less
00:04:40.639	2.96	attractive to me tier 3 axe dps was
00:04:42.880	3.12	juicy
00:04:43.600	4.24	535 average with the top end of
00:04:46.000	4.24	somewhere around 570 dps
00:04:47.840	3.44	take these results how you want uh if if
00:04:50.240	2.80	you're still very convinced to go
00:04:51.280	3.04	hammers just go hammers you know
00:04:53.040	2.48	the difference of damage really won't
00:04:54.320	2.16	end up being that different between the
00:04:55.520	2.80	two
00:04:56.479	3.44	uh but to take into consideration that
00:04:58.320	3.36	blizzard usually does end up lowering
00:04:59.919	2.56	the proc chance of some items on
00:05:01.680	2.96	official launch
00:05:02.479	3.44	keep an eye out for that personally i
00:05:04.639	3.28	think i'm going to send it with the
00:05:05.919	3.12	with the axes on release i've always
00:05:07.919	2.08	been a hammer guy and i want to try
00:05:09.039	2.48	something a little different
00:05:10.000	3.76	so you'll definitely see me rocking the
00:05:11.520	3.88	axes on official tbc classic
00:05:13.759	4.64	thanks for watching guys catch you next
00:05:15.400	3.00	time
