start	duration	text
00:00:00.000	4.40	welcome to the god of lols gaming quick
00:00:02.159	4.16	guide to the arms warrior
00:00:04.400	3.36	we'll be moving at a rapid pace here but
00:00:06.319	2.16	if you find anything in this guide that
00:00:07.759	2.32	helps you
00:00:08.480	3.44	please make sure you smash that like
00:00:10.080	4.24	button on your way out
00:00:11.920	3.52	all right diving right in first up we're
00:00:14.320	3.36	going to take a look at our stat
00:00:15.440	4.00	priority for the arms warrior first
00:00:17.680	6.24	priority being 9
00:00:19.439	7.60	hit writing second priority being 6.25
00:00:23.920	5.84	expertise or 103 rating third
00:00:27.039	4.32	would be strength fourth critical strike
00:00:29.760	4.64	fifth armor penetration
00:00:31.359	4.80	sixth ace and seventh hit rating above
00:00:34.399	2.96	nine percent
00:00:36.160	3.52	next up we're going to take a look at
00:00:37.360	4.48	our talents we're gonna get three points
00:00:39.680	4.48	into improved heroic strike
00:00:41.840	3.36	two points in deflection two points in
00:00:44.160	2.56	improved charge
00:00:45.200	3.36	and three points into improved
00:00:46.719	3.04	thunderclap we're gonna grab one point
00:00:48.559	2.88	in iron will
00:00:49.760	3.68	one point in anger management deep
00:00:51.440	3.36	wounds cease three points impale
00:00:53.440	3.60	two points two-handed weapon
00:00:54.800	4.00	specialization gets five points death
00:00:57.039	3.12	wish gets one point this will vary
00:00:58.800	3.44	depending on what weapon you're
00:01:00.160	4.16	currently using however the pull axe
00:01:02.239	2.56	specialization is generally the way to
00:01:04.320	2.48	go
00:01:04.799	4.48	ideally equipping a two-handed axe
00:01:06.799	5.60	however with lionheart's sword
00:01:09.280	5.12	being a thing sword specialization would
00:01:12.400	4.16	actually be a gps increase
00:01:14.400	4.32	if you are an orc it could be argued
00:01:16.560	2.48	that polax specialization is the way to
00:01:18.720	2.24	go
00:01:19.040	3.60	as that will give you some expertise as
00:01:20.960	3.20	well generally though most people will
00:01:22.640	4.24	go with the lionheart sword
00:01:24.159	4.88	option thus making five points into
00:01:26.880	4.08	sword specialization the priority we'll
00:01:29.040	2.80	move down and get two points and improve
00:01:30.960	3.04	disciplines
00:01:31.840	3.60	grab our mortal strike and get two
00:01:34.000	3.28	points in blood frenzy
00:01:35.439	3.28	we're going to skip hitting points in
00:01:37.280	3.84	improved mortal strike or
00:01:38.720	3.36	endless rage and slide on over to the
00:01:41.119	3.44	fury tree
00:01:42.079	3.92	and get five points in cruelty five
00:01:44.560	3.68	points in unbridled wrath
00:01:46.000	4.72	five into commanding presence five into
00:01:48.240	4.00	enrage grab our sweeping strikes and get
00:01:50.720	4.48	to an improved slam
00:01:52.240	5.52	two in weapon mastery and finish our
00:01:55.200	4.80	three points in flurry
00:01:57.759	3.60	that's it for arm's talents let's look
00:02:00.000	3.44	at the rotation
00:02:01.360	3.76	blood rage and death wish can be used on
00:02:03.439	4.40	open to give you the most
00:02:05.119	4.08	rage at the start of a fight topped with
00:02:07.840	3.76	recklessness and any
00:02:09.200	3.84	on-use trinkets you may have you open
00:02:11.599	5.20	with auto attack
00:02:13.040	7.12	into slam then mortal strike auto attack
00:02:16.800	6.56	slam then whirlwind auto attack slam
00:02:20.160	5.28	mortal strike auto attack slam whirlwind
00:02:23.360	3.36	if you must be mobile it's okay to
00:02:25.440	3.68	remove the slams
00:02:26.720	4.80	ideally you don't have to remove the
00:02:29.120	4.80	slams from the rotation as they will be
00:02:31.519	4.80	your second highest damage done compared
00:02:33.920	3.92	only to auto attack potentially your
00:02:36.319	3.44	highest damage done
00:02:37.840	4.80	you'll see here the burst potential with
00:02:39.760	4.88	recklessness and trinkets that you have
00:02:42.640	3.20	it's important that you cast slam
00:02:44.640	4.24	directly after an
00:02:45.840	4.16	auto attack and do not interrupt your
00:02:48.879	4.24	auto attack swing
00:02:50.000	4.40	timer that's it for our arms warrior dps
00:02:53.120	4.48	rotation
00:02:54.400	5.76	and also our arms warrior dps
00:02:57.599	4.48	quick guide if you have any questions
00:03:00.159	4.08	further about the arms warrior feel free
00:03:02.080	4.88	to stop over at twitch.tv
00:03:04.239	4.08	god of lulls and otherwise thank you so
00:03:06.959	3.68	much for watching
00:03:08.319	4.24	please like comment subscribe and share
00:03:10.640	7.92	with your arms warrior friends
00:03:12.560	6.00	and until next time farewell
