start	duration	text
00:00:00.320	3.04	yo what is up guys it's rage by the way
00:00:01.760	3.36	back here with another video today we're
00:00:03.360	4.24	gonna be looking over the best or your
00:00:05.120	4.16	best in slot for phase two as a fury
00:00:07.600	3.76	warrior now i've been kind of waiting a
00:00:09.280	3.36	while for this video um to make this
00:00:11.360	2.88	video i wanted to make sure that
00:00:12.639	2.96	everything was kind of set in stone you
00:00:14.240	3.04	know people kind of made the decisions
00:00:15.599	3.44	talking to people you know
00:00:17.279	3.60	looking at discords you know the whole
00:00:19.039	3.12	shebang and
00:00:20.880	2.96	pretty much deciding like what's going
00:00:22.160	4.16	to be abyss for phase two before i came
00:00:23.840	4.72	out with the bis list um everything's up
00:00:26.320	3.60	for debate this is all this is a lot of
00:00:28.560	3.84	this is my own opinion but a lot of this
00:00:29.920	4.48	is still pretty like cookie cutter um
00:00:32.399	3.20	what it's going to be there's a very
00:00:34.399	3.12	when we get into phase two there's gonna
00:00:35.600	3.28	be very like in your face options that
00:00:37.520	3.76	are like pretty obvious there's not a
00:00:38.879	4.00	lot of things to switch around um
00:00:41.280	4.00	i do have a couple
00:00:42.879	3.28	of suggestions for certain pieces of
00:00:45.280	2.24	gear
00:00:46.160	3.04	just as we go through as you're going
00:00:47.520	3.20	through the raids
00:00:49.200	2.72	so that way you can maybe try to grab
00:00:50.719	2.32	some pieces that other people aren't
00:00:51.920	2.80	using
00:00:53.039	2.96	of course like plates always a big
00:00:54.719	3.68	option as a
00:00:56.000	4.88	as a fury warrior dps as there's only
00:00:58.399	6.08	two dps that actually use plate us and
00:01:00.879	4.88	paladins um as dps gear so if you have
00:01:04.479	2.24	to grab some of the plate options i'm
00:01:05.760	2.56	going to show you guys some of the plate
00:01:06.720	3.28	options because they can be used as
00:01:08.320	3.44	fillers until or some of them can be
00:01:10.000	3.44	used as fillers until you get those
00:01:11.760	3.52	those other pieces you know because a
00:01:13.439	3.28	lot of times as as fury warriors we wear
00:01:15.280	3.76	leather and that kind of thing because
00:01:16.720	3.76	usually just has better stats um but
00:01:19.040	2.80	with that we also fight with other
00:01:20.479	3.12	people as we
00:01:21.840	3.12	you know try to get those um try to get
00:01:23.600	4.80	those pieces there's a lot of classes
00:01:24.960	4.64	that also use leather dps so
00:01:28.400	3.60	this is pretty like i said it's pretty
00:01:29.600	4.00	cut and dry um pretty cookie cutter
00:01:32.000	2.80	i will show my opinion on certain things
00:01:33.600	2.40	that you can switch around and some
00:01:34.799	2.64	things that you will be able to switch
00:01:36.000	2.64	around as you go
00:01:37.439	2.40	um
00:01:38.640	2.72	we're going to be able to i'm gonna go
00:01:39.840	3.92	i'm gonna show you guys a
00:01:41.360	3.84	a hit set and then a or like a nine
00:01:43.759	4.08	percent hit say and then a six percent
00:01:45.200	4.32	hit set as you know um some raids you
00:01:47.840	3.36	know it's kind of
00:01:49.520	3.04	depending on how you how your guild is
00:01:51.200	2.96	or what you're doing or maybe you're
00:01:52.560	4.16	pugging you're not always going to have
00:01:54.159	4.56	a boomkin and having a six percent hits
00:01:56.719	3.76	set or lower i should say lower than
00:01:58.719	4.08	nine percent is not going to help you at
00:02:00.479	3.52	all um it's going to bring your dps down
00:02:02.799	2.56	quite a bit so you're going to want to
00:02:04.000	3.20	be at that nine percent if you don't
00:02:05.360	3.12	have a boomkin so i will be showing you
00:02:07.200	5.12	some things that you can replace with
00:02:08.479	5.68	that um as we go um
00:02:12.319	3.36	and then also the the six percent the
00:02:14.160	3.44	the regular like you know below nine
00:02:15.680	3.44	percent that you can use that'll be like
00:02:17.599	3.12	your best in slot if you have a boomkin
00:02:19.120	3.28	so
00:02:20.720	3.04	first off i mean we look we look
00:02:22.400	3.44	absolutely ridiculous like this next
00:02:23.760	3.92	phase we look absolutely silly so we're
00:02:25.840	3.36	gonna have to deal with that but as we
00:02:27.680	3.20	go through tbc i think most of us are
00:02:29.200	3.84	pretty used to that by now but yeah we
00:02:30.879	4.00	do look pretty silly as by the time we
00:02:33.040	3.20	get to um the end of phase two but
00:02:34.879	2.48	that's okay because we'll be doing a ton
00:02:36.239	2.32	of damage
00:02:37.360	3.12	so first off we're going to try to get
00:02:38.560	4.00	the destroyers battle home
00:02:40.480	4.88	this drops off lady vosh
00:02:42.560	4.48	and ssc uh this is going to be a big
00:02:45.360	3.44	ticket item for us so the biggest
00:02:47.040	3.44	problem um with us trying to get tier
00:02:48.800	5.44	gear as we go along talking about more
00:02:50.480	6.40	stuff is that our tier sets are pretty
00:02:54.239	5.12	bad um like set bonus wise
00:02:56.879	4.96	and as you guys know we share with
00:02:59.360	3.48	druids and priests right
00:03:01.840	3.60	druids and
00:03:02.840	6.04	priests yeah something like that
00:03:05.440	3.44	yeah druids and priests see i'm right
00:03:09.680	3.28	druids and priests
00:03:11.519	3.12	so as you guys know we do share with
00:03:12.959	3.12	druids and priests
00:03:14.640	4.00	um
00:03:16.080	4.16	so in their sets as
00:03:18.640	4.24	uh boomkin
00:03:20.239	4.72	feral tank feral dps
00:03:22.879	5.36	uh
00:03:24.959	5.36	uh healers or arrest restore druids um
00:03:28.239	3.44	and then i know like the priests i'm
00:03:30.319	3.76	pretty sure that priests also use their
00:03:31.680	4.08	set so there is a very big chance that
00:03:34.080	4.08	we're going to be very very low prior
00:03:35.760	3.92	for this um unfortunately just because
00:03:38.159	3.28	when we when we want destroyers battle
00:03:39.680	3.68	helm it's literally just for stats i
00:03:41.440	2.72	mean depending on how your guild does it
00:03:43.360	1.48	um
00:03:44.159	3.28	just
00:03:44.840	4.84	depends on how like what your place will
00:03:47.440	4.00	be for how you get this um if you're
00:03:49.680	3.36	doing a loot council type system where
