start	duration	text
00:00:00.560	2.72	what's poppin guys and girls it's your
00:00:02.000	2.64	boy royal and welcome back to the
00:00:03.280	2.88	channel in today's video i want to
00:00:04.640	3.68	discuss with you guys the phase two
00:00:06.160	3.92	protection paladin best in slot gear
00:00:08.320	3.20	a couple of things before we jump right
00:00:10.080	3.36	into it though is you want to make sure
00:00:11.519	3.60	that your avoidance capped and in phase
00:00:13.440	2.80	two it's easier to do that than ever
00:00:15.120	3.28	before because
00:00:16.240	4.56	a lot of the gear in phase two has way
00:00:18.400	4.56	more defensive stats than in phase one
00:00:20.800	5.44	and so i'll leave a link down below to
00:00:22.960	8.88	the avoidance cap sheet but it is 102.4
00:00:26.240	5.60	if you don't already know
00:00:32.719	3.92	the best overall helmet for paladins in
00:00:35.200	3.04	phase 2 is going to be the crystal
00:00:36.640	3.52	forged face guard and the reason for
00:00:38.239	4.08	this is because it provides a high spell
00:00:40.160	2.88	power as well as defensive stats and
00:00:42.320	2.88	stamina
00:00:43.040	3.44	but a couple other honorable mentions
00:00:45.200	2.96	are the tier 4
00:00:46.480	3.28	helmet still as well as the new
00:00:48.160	4.08	engineering goggles if you're an
00:00:49.760	2.48	engineer
00:00:54.559	3.52	the best overall shoulders for
00:00:56.320	3.28	protection paladin and phase 2
00:00:58.079	3.20	is going to be the jessica shoulder
00:00:59.600	3.84	guards and the reason for this is
00:01:01.280	2.96	because of the block value it gives as
00:01:03.440	3.28	well as the
00:01:04.239	4.72	spell power and the reason this is chose
00:01:06.720	4.16	over the new tier 5 shoulders is if you
00:01:08.960	2.32	have a look at the new tier 5 shoulders
00:01:10.880	2.48	they
00:01:11.280	3.28	actually give parry rating they do not
00:01:13.360	2.64	give block rating
00:01:14.560	3.44	and you want block rating to help
00:01:16.000	5.20	towards the uncrushability status that
00:01:18.000	3.20	we talked about earlier
00:01:24.400	3.76	the best overall chess piece for
00:01:26.080	4.16	paladins and phase 2 tbc
00:01:28.159	3.60	is going to be the tier 4 chess piece
00:01:30.240	3.28	and the reason for this is because of
00:01:31.759	2.32	the high block value that allows you to
00:01:33.520	3.36	maintain
00:01:34.079	5.36	uncrushability status but then it also
00:01:36.880	4.96	allows you to maintain the tier 4
00:01:39.439	4.40	tier bonus which this is useful for
00:01:41.840	2.56	maintaining threat because it brings an
00:01:43.840	4.96	added
00:01:44.399	4.40	15 bonus damage to your aura
00:01:53.360	3.28	girl of the invulnerable is the
00:01:54.799	3.76	recommended phase two best in slot and
00:01:56.640	3.76	the reason for this is survivability
00:01:58.560	4.00	because it gives mitigation towards
00:02:00.399	5.44	uncrushability status
00:02:02.560	5.44	however there still is a girdle of the
00:02:05.840	4.64	valorous deeds which is still a viable
00:02:08.000	2.48	option
00:02:14.239	3.68	wrist guards of determination are the
00:02:15.920	4.16	best in slot wrist guards for protection
00:02:17.920	3.44	paladin the reason for this is avoidance
00:02:20.080	3.20	stats once again
00:02:21.360	4.40	however some of the honorable mentions
00:02:23.280	4.72	are the huntsman bracers as well as the
00:02:25.760	2.96	bracers of dignity which is the best in
00:02:28.000	4.24	slot
00:02:28.720	3.52	for this phase is threatened
00:02:35.360	3.52	be the protector of the best and slot
00:02:37.120	3.68	phase two boots for paladin and the
00:02:38.879	2.56	reason why is because of mitigation
00:02:40.800	2.56	stats
00:02:41.440	3.76	but also they allow for use of other
00:02:43.360	3.36	items in other places because of the
00:02:45.200	3.12	high mitigation stats
00:02:46.720	3.36	so overall you want to try and get
00:02:48.319	4.48	yourself a pair of feet of the protector
00:02:50.080	2.72	in phase two
00:02:57.040	3.52	crystal forged lay guards are the
00:02:58.480	4.16	recommended phase two best and slot legs
00:03:00.560	3.92	for threat and general survivability and
00:03:02.640	4.24	the reason for this is the legs provide
00:03:04.480	3.04	more stamina and spell power than the
00:03:06.879	3.12	tier four
00:03:07.519	5.12	justicar ligards however those still
00:03:10.000	4.56	manage to be a viable option this year
00:03:12.640	3.12	because of the parry and spell power on
00:03:14.560	4.00	those the best
00:03:15.760	3.92	overall stamina legs this gear still
00:03:18.560	4.96	manages to be the
00:03:19.680	3.84	wind dynasty from karazhan
00:03:28.400	3.20	the best overall gloves for this tier
00:03:30.319	3.84	are going to be the
00:03:31.599	3.84	crystal forage tier five gloves because
00:03:34.159	3.92	of the high
00:03:35.440	3.04	threat management that they give out but
00:03:38.080	2.40	then
00:03:38.480	3.44	the kill thaw silver moon gloves are
00:03:40.480	3.76	also a very high
00:03:41.920	3.84	viable option but the only downside to
00:03:44.239	3.76	these gloves is that they don't have any
