start	duration	text
00:00:00.120	5.06	Hey everyone, phase 2 is around the corner and with that, among many other things comes
00:00:05.180	6.00	the new raids, Serpentshrine Cavern and Tempest Keep, and when you say new raids you also
00:00:11.179	6.00	say new loot to obtain, the great thing about TBC unlike retail is that when a new patch
00:00:17.180	4.90	drops you don’t have to replace all your gear, you’ll see throughout this video that
00:00:22.080	5.35	a lot of gear from phase 1 is still bis for many specs and classes.
00:00:27.430	5.15	Speaking of specs and classes, in this video we’re gonna be focusing on tanks and healers,
00:00:32.579	5.42	we’ve also made a very similar video for melee and ranged DPS which you can check too
00:00:37.999	5.24	if you have a DPS or if you’re curious what your fellow guild mates will be competing
00:00:43.239	6.15	with you on, although we will mention when something is shared between you and DPS in
00:00:49.390	1.00	here too.
00:00:50.390	4.28	Just like in that first video, we’ll talk about different types of items and discuss
00:00:54.670	4.04	whats bis for every class, weapons, rings, trinkets and so on.
00:00:58.710	4.05	So without further a due, let’s get into the video.
00:01:02.760	5.46	Alright starting off with trinkets as that’s usually the hardest pieces to obtain, generally
00:01:08.220	1.00	of course.
00:01:09.220	4.61	Starting off with tanks, you’ll see that generally speaking nothing changes in terms
00:01:13.830	5.14	of trinkets, what you had in phase 1 will still be what you’ll be using in phase 2.
00:01:18.970	5.35	DST is still bis for feral druids, the Badge of Justice trinket and the Eye of Magtheridon
00:01:24.320	5.49	are still bis for prot paladins, and being an engineer and rocking two Goblin Rocket
00:01:29.810	3.62	Launchers is still your best option as a prot warrior.
00:01:33.430	5.36	But there is one interesting exception for feral druid, Badge of Tenacity.
00:01:38.790	5.52	This is tied to the Ogri’la reputation, but you actually don’t have to farm a single
00:01:44.310	4.75	point of reputation for Ogri’la to obtain this, you just need to kill mobs around the
00:01:49.060	6.32	Ogri’la plateau until the depleted badge drops then turn it into the actual badge with
00:01:55.380	1.33	50 Apexis Shards.
00:01:56.710	4.52	Or even more simply you could just buy it directly from the auction house, it’s bind
00:02:01.230	1.00	on equip.
00:02:02.230	5.14	For healers it’s also very much the same stop, Eye of Gruul and the Ribbon from kara
00:02:07.370	7.79	are still bis for Priests, the badge trinket for shamans and druids, and the Scarab for
00:02:15.159	1.00	Shamans.
00:02:16.159	5.58	But there’s one new trinket called Earring of Soulful Meditation for priests only which
00:02:21.739	4.70	is gonna be bis for you, drops from Lurker Below and it obviously should go straight
00:02:26.439	5.24	to priests if it drops, this is quite nice especially with that on use effect which gives
00:02:31.680	2.29	300 Spirit for 20 seconds.
00:02:33.970	2.70	It’s comparable to using a using a small mana potion.
00:02:36.670	5.11	But that’s pretty much it on the healer front, you’ll be keeping any trinket from
00:02:41.780	2.09	phase 1 you already have.
00:02:43.870	3.95	Moving on to weapons, this is where things start to get more interesting.
00:02:47.819	5.75	Starting off with tanks, as a feral druid you have Wildfury Greatstaff, this drops off
00:02:53.569	6.02	the trash in SSC, not sure how rare this is but if you’re not in a rush, consider joining
00:02:59.590	9.30	trash farming groups because this staff is really good albeit oriented more towards mitigation.
00:03:08.889	5.65	As a paladin you’ll want to use Fang of the Leviathan, if you watched our DPS video
00:03:14.540	4.65	you’ll know that this is a quite sought after item for a lot of casters, for this
00:03:19.190	5.38	reason if you’re your guild’s main tank or even off tank make sure to let your loot
00:03:24.569	4.57	council know that this is a big item for you.
00:03:29.139	3.11	You’ll use this along with Aldori Legacy Defender from Gruul still, same thing for
00:03:32.249	1.00	warriors.
00:03:33.249	5.01	For warriors by the way the best weapon to get is Mallet of the Tides an awesome option
00:03:38.260	4.94	for both threat and mitigation, drops off Lurker Below and it should go straight to
00:03:43.200	4.18	you because prot warriors are the only ones after this weapon.
00:03:47.379	6.65	And then moving on to healers, basically every healer wants on thing, Lightfathom Scepter,
00:03:54.030	5.30	whether you’re a druid, shaman, priest or paladin, this mace is awesome for you, it
00:03:59.329	5.91	drops off Lady Vashj, it’s quite rare, but this will last you for a very long time.
00:04:05.239	4.72	Along with that druids still use the Badge of Justice off hand, Paladins the shields
00:04:09.959	5.35	from Magtheridon, but for Priests and Shamans you have Talisman of the Sun King, really
00:04:15.309	4.74	good off hand off Al’ar, it shouldn’t be too hard to obtain and it is a good upgrade
00:04:20.049	1.90	from what you previously had.
00:04:21.950	5.85	Okay moving on to necks, we got some good options for everyone, for feral druids, there’s
