start	duration	text
00:00:00.080	5.12	yo what's going on guys your boy wendy
00:00:01.599	7.20	this is my tbc classic pop paladin phase
00:00:05.200	5.12	two aka phase five this this is what
00:00:08.800	3.04	you're gonna wanna go for this is what
00:00:10.320	3.44	you're gonna wanna get equipped as quick
00:00:11.840	3.52	as you can especially if you're tanking
00:00:13.759	3.36	you wanna you wanna get prioritized over
00:00:15.360	3.44	some things than others so starting off
00:00:17.119	3.28	we're gonna go crystal forge face guard
00:00:18.800	3.68	you know this is a tier set to one of
00:00:20.400	4.40	the coolest i think in my opinion
00:00:22.480	4.32	uh this one i'm just gonna go 12 stamp
00:00:24.800	4.32	gem meta slot gem i'm gonna go with 18
00:00:26.800	4.32	stam five sun resist enchant i'm going
00:00:29.119	3.84	16 defensive rating and 17 dodge rating
00:00:31.119	4.08	that's just a glyph of power nothing
00:00:32.960	3.60	special but i think this is overall
00:00:35.200	3.20	really really great helm you know
00:00:36.559	4.08	increases your defense block it even
00:00:38.399	4.00	gives you damage and healing you know if
00:00:40.640	2.80	you are a healer but mostly you know
00:00:42.399	2.08	you're just looking for damage when
00:00:43.440	2.40	you're in the tank
00:00:44.480	2.72	just give you that more threat and then
00:00:45.840	3.12	also gives you black value for your
00:00:47.200	3.20	shield with the set you're gonna want
00:00:48.960	3.84	two-piece set you know this increases
00:00:50.399	4.24	the damage from your right aura by 15
00:00:52.800	3.60	you know that's still more more damage
00:00:54.640	3.76	more threat for you all right next up we
00:00:56.399	4.08	have the darkeners grasp again very
00:00:58.399	4.16	solid neck piece 40 stamp gives you
00:01:00.480	3.20	black dodge defense you know everything
00:01:02.559	2.32	you're looking for when you're tanking
00:01:03.680	2.56	this is going to be your best throughout
00:01:04.879	2.88	moving on to the shoulders we got the
00:01:06.240	4.08	justice card shoulders again these are
00:01:07.760	4.88	from gruel's layer these go off off high
00:01:10.320	4.08	king molgar so if you don't already have
00:01:12.640	3.12	these try to get them because these are
00:01:14.400	2.88	gonna be your best from the phase one to
00:01:15.759	3.44	phase two or phase four phase five
00:01:17.280	3.44	however you wanna see it this one you
00:01:19.200	4.72	know i just put defensive rating and
00:01:20.720	4.88	spam jam plus more stam you know i think
00:01:23.920	2.88	uh just as much damage you can get on
00:01:25.600	2.64	your paladin you know you're kind of
00:01:26.799	3.52	kind of squishier
00:01:28.240	4.00	but uh this set actually is
00:01:30.320	4.08	unquestionable as well so i know my
00:01:32.240	4.24	first video uh the set i gave you guys
00:01:34.400	3.68	wasn't uncrushable you know that's on me
00:01:36.479	3.92	but this one uh trust me it's
00:01:38.079	4.64	unquestionable it gives you 71.94
00:01:40.400	3.84	avoidance before your holy shield
00:01:42.720	3.68	so you'll have a definitely definitely a
00:01:44.240	3.60	good chance of uh tanking anything for
00:01:46.399	4.00	the back piece we're gonna go with the
00:01:47.840	5.12	phoenix wing cloak this one drops from
00:01:50.399	4.32	alar it has a 24 drop rate it gives you
00:01:52.960	3.12	you know 108 armor but it also gives you
00:01:54.720	3.20	37 stam
00:01:56.079	3.52	i personally went with the 12 dodge
00:01:57.920	3.52	rating that's just the enchant i went
00:01:59.600	3.84	with on it uh it also increases your
00:02:01.439	4.16	defense and dodge rating again very very
00:02:03.439	4.00	good one uh before this you want to wear
00:02:05.600	4.00	your devil shark cape you know that one
00:02:07.439	4.24	is solid for the first phase of this
00:02:09.599	3.20	expansion but moving forward you just
00:02:11.680	3.28	you know you want to get this one for
00:02:12.800	3.92	the chess piece again this is the one
00:02:14.959	4.40	from last phase this one drops off of
00:02:16.720	4.24	mag has a 59 drop rate again if you
00:02:19.360	3.36	don't already have it make sure to equip
00:02:20.959	3.36	it make sure to get it you know talk
00:02:22.720	2.72	with your guild talk with your team try
00:02:24.319	2.40	to get it as quick as you can because
00:02:25.440	3.76	you know this one's going to last you
00:02:26.720	4.80	through the next phase it has 48 stamp
00:02:29.200	3.92	30 intellect this one i put 150 health
00:02:31.519	3.84	enchants on it and plus you have this
00:02:33.120	3.28	two set as well this increases the
00:02:35.360	2.64	damage done by your seal of
00:02:36.400	4.24	righteousness vengeance and seal of
00:02:38.000	4.56	blood i personally is using a bunch of
00:02:40.640	3.28	seal of righteousness so this is again
00:02:42.560	2.64	an amazing piece all right for the
00:02:43.920	3.68	wrists we're gonna go with wrist guards
00:02:45.200	4.32	of determination these ones you know
00:02:47.599	3.36	again amazing 37 stamina all these
00:02:49.519	3.04	pieces have a bunch of stamps so you
00:02:50.959	3.12	should get a bunch a bunch of health off
00:02:52.560	3.92	this this one i'm going with a 12
00:02:54.080	4.72	defensive rating uh enchant this one
00:02:56.480	4.08	again defensive it gives you block
00:02:58.800	3.12	rating dodge rating again this is all
00:03:00.560	2.80	adding to your avoidance so you'll be
00:03:01.920	3.68	able to tank anything all right now get
00:03:03.360	5.12	into the sword you know the fang of
00:03:05.599	5.20	leviathan it might not be prioritized to
00:03:08.480	4.08	you right away but that's okay you know
00:03:10.800	4.48	you will have the blood maul magus blade
00:03:12.560	5.36	hopefully you do get it or if you go
00:03:15.280	4.64	with stormcaller that's the thralmar rep
00:03:17.920	4.08	sword that one is also a very good one
00:03:19.920	4.48	if you don't have blood ball but again
00:03:22.000	4.00	fang of leviathan is an amazing sword
00:03:24.400	4.16	you know it gives you stam intellect i
00:03:26.000	4.96	put a 40 spell damage to it also gives
00:03:28.560	3.84	you crit and then again this part
00:03:30.959	2.92	increases your damage
00:03:32.400	4.08	and magical spells by
00:03:33.879	4.52	221 which is like
00:03:36.480	3.04	wow that's insane before buffs and
00:03:38.400	3.36	everything you're looking at this whole
00:03:39.519	3.76	set you're looking at 568 spell power
00:03:41.760	2.88	spell damage
00:03:43.280	3.28	you know i think that's pretty solid you
00:03:44.640	3.44	could probably push over 750 maybe 800
00:03:46.560	3.12	if you use the right flask right food
00:03:48.080	4.48	you know just get right buffs i think
00:03:49.680	2.88	you can really push this
00:03:53.439	3.68	all right for the shield it's the same
00:03:55.040	5.36	one as last phase the aladori legacy
00:03:57.120	6.24	defender this one drops off of gruel
00:04:00.400	5.36	you know uh it's 24 drop rate i have yet
00:04:03.360	3.52	to see it but i know others have so this
00:04:05.760	5.04	one you're going to definitely want to
00:04:06.879	4.96	get 39 stam i put a 18 stem enchant 12
00:04:10.799	1.92	stem
00:04:11.840	2.48	gem
00:04:12.720	2.96	and then that socket gives you plus your
00:04:14.319	3.12	defensive rating it also gives you
00:04:15.680	2.96	defensive rating and increases your hit
00:04:17.440	2.40	rating so
00:04:18.639	2.88	you know you get a little bang for your
00:04:19.840	3.36	buck in here and i think is a really
00:04:21.519	2.88	really good all-around shield
00:04:23.199	3.44	all right for the next piece we have the
00:04:24.400	4.00	royal gauntlets of silver moon you know
00:04:26.639	4.48	these ones are an amazing piece you know
00:04:28.400	5.28	you get 57 stamp i put a plus 20 spell
00:04:31.120	4.48	damage and i also put two gems that are
00:04:33.680	3.60	plus 12 stamina this one gives you
00:04:35.600	3.84	defensive rating dodge rating you know
00:04:37.280	3.92	this again all around great build i put
00:04:39.440	3.04	spell damage because you know it looks
00:04:41.199	2.56	like most of my pieces i'm getting
00:04:42.479	3.28	stamped most of my pieces i'm getting
00:04:43.759	4.48	defense i'm already hit capped i'm
00:04:45.759	4.32	already uncrushable so you know might as
00:04:48.240	3.68	well push what i can for spell damage
00:04:50.080	3.52	just to get more threat more everything
00:04:51.919	3.20	when i'm thinking
00:04:53.600	3.68	for the next one we're going to belt the
00:04:55.120	2.96	guardian this one is a blacksmithing one
00:04:57.280	4.16	again
00:04:58.080	6.64	um this one is 48 stamina 13 intellect
00:05:01.440	4.72	and then 212 plus 12 stamina gems this
00:05:04.720	3.36	one defense it gives you damage
00:05:06.160	4.40	increases your black value your shield
00:05:08.080	4.40	this one can be interchangeable so if we
00:05:10.560	3.92	look at it you can't get crimson girdle
00:05:12.479	3.76	the indomitable that one's from karazhan
00:05:14.479	3.60	that one drops off of morals you know
00:05:16.240	3.84	that one's pretty easy one to equip
00:05:18.080	4.56	that's one easy probably one to get uh
00:05:20.080	4.64	another one is girdle of valor's deeds
00:05:22.639	3.84	that one is from bm heroic
00:05:24.720	2.96	that drops off the last boss in there
00:05:26.479	2.32	you know it's been pretty tough to get
00:05:27.680	2.40	i've been trying to get it still have
00:05:28.800	3.20	not seen it
00:05:30.080	3.68	and then there's also one from ssc is
00:05:32.000	3.60	the girl of the invulnerable
00:05:33.759	4.16	it's just the belt of the guardian has a
00:05:35.600	3.84	little bit more stam that you can get
00:05:37.919	3.36	you know it might give you a little more
00:05:39.440	4.00	health but again this is all up to
00:05:41.280	3.60	opinion so if you guys want to rock with
00:05:43.440	2.80	a different one it'd be my guess you
00:05:44.880	3.20	know you can always pick a different one
00:05:46.240	3.52	i'm just letting you know that this one
00:05:48.080	3.28	has a little bit more stamp for you
00:05:49.759	4.08	moving on to the leggings we got crystal
00:05:51.360	4.88	forged leg guards this one again 54
00:05:53.840	6.24	stamp 27 intellect i put a
