    0.40	 5.36	hey guys in this video i'll be going
    2.24	 5.04	over tier v or phase two loop prio i
    5.76	 2.96	decided to re-record it just to make it
    7.28	 3.60	a little bit easier for everyone to
    8.72	 4.16	follow along with the items the first
   10.88	 4.64	version was a little tough to follow um
   12.88	 5.12	so without further ado i'll be going
   15.52	 5.12	through all of the loot for phase two
   18.00	 3.68	now uh the most important thing you know
   20.64	 2.64	and as we're going through when we're
   21.68	 3.52	talking about items the important thing
   23.28	 4.00	is to make sure we're giving you know
   25.20	 3.68	the really good best in slot items to
   27.28	 3.36	the classes that they're best in slot
   28.88	 4.40	for you want to consider items that are
   30.64	 4.48	best in slot for more than one phase
   33.28	 4.16	and then also
   35.12	 4.00	obviously you want to make sure that
   37.44	 3.20	when you have two classes that are both
   39.12	 3.76	going for an item you know it's
   40.64	 5.12	sometimes useful to know which class
   42.88	 4.48	benefits much more than others
   45.76	 3.04	and you know in conclusion the whole
   47.36	 3.20	point of the video is to give you an
   48.80	 3.92	idea of how good each item is for every
   50.56	 4.24	class so that when an item drops you
   52.72	 2.96	know who should you know who should get
   54.80	 3.44	it
   55.68	 4.56	so with that let's get right into it and
   58.24	 3.20	start with the trash drops and some of
   60.24	 3.20	the patterns
   61.44	 4.40	uh we'll start first with the patterns
   63.44	 3.44	there's two types of patterns in tier
   65.84	 3.84	five
   66.88	 4.40	they both drop from sse and tempest keep
   69.68	 4.08	so there's a bunch of different patterns
   71.28	 4.00	you've got leather working patterns
   73.76	 4.80	you've got
   75.28	 5.76	blacksmithing and you've got tailoring
   78.56	 4.08	go you know for for the armor items that
   81.04	 4.00	you're going to be creating
   82.64	 4.88	now there's boots and belt for almost
   85.04	 4.64	every like stat combination the boots
   87.52	 3.76	are by nunn pickup and so it's really
   89.68	 3.84	important to note that if you give
   91.28	 3.76	someone the recipe for a pair of boots
   93.52	 3.20	they cannot craft it for everyone in the
   95.04	 4.00	guild so you need to make sure you're
   96.72	 4.80	not giving the pattern to the guild
   99.04	 4.80	tailor or the guild blacksmith you need
  101.52	 4.72	to actually give it to the person who
  103.84	 5.12	uh wants the item and has the profession
  106.24	 6.24	for it so for example you might have
  108.96	 7.12	your guild tailor as like a warlock
  112.48	 4.96	but if the boots of the long road drop
  116.08	 3.76	you don't want to give them to your
  117.44	 5.04	warlock because it's bind on pickup
  119.84	 3.84	cloth healing boots and the warlock
  122.48	 2.64	makes no use out of it so you actually
  123.68	 3.52	want to go out of your way to try and
  125.12	 5.60	find out okay who are the tailors
  127.20	 5.04	in the guild and um
  130.72	 3.04	you know who
  132.24	 4.00	what who's going to benefit from it who
  133.76	 4.16	can craft it so that's important now the
  136.24	 5.04	belts are completely different than the
  137.92	 6.40	boots the belts are boes and they use
  141.28	 5.52	nether vortexes where the boots do not
  144.32	 4.16	so nether vortexes are these items that
  146.80	 3.44	are going to drop from trash and you're
  148.48	 3.20	going to get you know
  150.24	 3.60	you know up to several per boss
  151.68	 3.76	sometimes dropping
  153.84	 3.44	and what you're going to use is these
  155.44	 3.12	nether vortexes are going to be used to
  157.28	 2.32	craft
  158.56	 3.36	the
  159.60	 6.56	upgraded blacksmithing weapons like deep
  161.92	 5.92	thunder and um also you've got dragon
  166.16	 3.68	strike dragon mall getting upgraded
  167.84	 5.68	dragon strike stuff like that but you've
  169.84	 5.52	also got all these new patterns so um
  173.52	 3.44	you know the strategy like i mentioned
  175.36	 3.44	for the boots is give them to someone
  176.96	 3.36	who can use them and expect them to
  178.80	 2.88	craft them and equip them and no one
  180.32	 4.00	else will get them
  181.68	 4.56	the strategy for the belts is it's
  184.32	 3.36	really not important who is prioritized
  186.24	 3.36	on the belts
  187.68	 3.92	it's more important to think about where
  189.60	 3.84	the nethers should be going so let me
  191.60	 3.68	give you an example right it wouldn't
  193.44	 3.84	really make a lot of sense to get really
  195.28	 4.56	into the weeds on who should be
  197.28	 5.60	prioritized for belt of blasting this is
  199.84	 4.72	a belt that's best for like every caster
  202.88	 3.76	there's not really a real reason to
  204.56	 3.84	break down a real long order of who
  206.64	 3.60	should get it in what order because as
  208.40	 4.08	soon as the pattern drops you can
  210.24	 3.92	potentially make multiple
  212.48	 3.60	right so who's first and second and
  214.16	 4.24	third is not as significant when you
  216.08	 4.80	factor in that well you could make three
  218.40	 4.32	belts the first day that it drops or six
  220.88	 4.32	or you know who knows how many belts you
  222.72	 5.04	can make so the idea is
  225.20	 5.28	these nether vortexes cannot be traded
  227.76	 5.28	so they're buying on pickup and you want
  230.48	 3.76	to make sure that when you're raiding
  233.04	 5.04	you're going to first give the nether
  234.24	 5.68	vortexes to your blacksmith warriors and
  238.08	 5.76	and rep paladins i would i would make
  239.92	 6.56	dragon strike first and then you make uh
  243.84	 4.56	the lionheart executioner
  246.48	 4.08	the reason why i would recommend using
  248.40	 6.16	the nether vortexes on dragon strike
  250.56	 6.24	first is because when we get over to
  254.56	 3.84	the eye or tempest keep
  256.80	 3.36	you're going to see that the twin blade
  258.40	 4.80	of the phoenix is this really amazing
  260.16	 5.28	two-hander that rhett and arms they like
  263.20	 4.96	it's slightly better than the
  265.44	 4.48	blacksmithing weapon even when upgraded
  268.16	 3.68	so if you happen to kill kale those
  269.92	 3.68	early on and get this to drop you
  271.84	 3.84	wouldn't need to make the blacksmithing
  273.60	 4.88	two-hander anymore so
  275.68	 5.52	for that reason i would recommend
  278.48	 6.08	making the using the nether vortexes on
  281.20	 4.48	dragon strike first for fury warriors um
  284.56	 3.04	and then
  285.68	 3.52	moving on and then i guess if you've got
  287.60	 3.28	anyone in the raid using like a
  289.20	 3.60	blacksmithing one-handed axe something
  290.88	 3.76	like that something that there that is
  292.80	 4.32	best for them like if you've got orcs
  294.64	 4.56	using the one-handed axe for expertise
  297.12	 3.76	they can make that next
  299.20	 3.52	but
  300.88	 2.96	once you get through those blacksmithing
  302.72	 2.72	weapons
  303.84	 2.48	you're going to have all these vortexes
  305.44	 2.80	dropping and you're going to have
  306.32	 3.28	nothing to do with them right because in
  308.24	 3.68	all likelihood you're not going to have
  309.60	 4.00	gotten many patterns yet so what you're
  311.92	 3.12	going to want to do is
  313.60	 2.40	generally speaking you're going to want
  315.04	 3.12	to
  316.00	 5.12	start throwing a ton of vortexes towards
  318.16	 5.84	your tailor because of all the patterns
  321.12	 5.44	belt of blasting is the one that is the
  324.00	 4.96	most used so for example
  326.56	 3.76	you know red battle belt is nice and all
  328.96	 3.52	but you're generally only going to make
  330.32	 5.76	one two or three per raid
  332.48	 6.16	um something like the boots uh or rather
  336.08	 4.64	the belt of the long road you know there
  338.64	 4.16	might be two to three healers that maybe
  340.72	 4.16	would be interested in this potentially
  342.80	 3.92	um but when you look at the belt of
  344.88	 2.88	blasting we're talking
  346.72	 3.04	you know
  347.76	 5.44	six seven eight nine
  349.76	 4.56	ten even casters uh every caster wants
  353.20	 3.12	this so
  354.32	 4.24	it's a little confusing how it works but
  356.32	 3.60	long story short give the vortexes to
  358.56	 4.00	people to make their blacksmithing
  359.92	 3.84	weapons prioritize the one-handers
  362.56	 3.28	then
  363.76	 3.92	use the
  365.84	 3.68	the nether vortexes start stacking them
  367.68	 2.96	on your tailor until you get a pattern
  369.52	 2.88	to drop
  370.64	 4.08	then just start giving vortexes to
  372.40	 6.48	whoever's got the pattern so for example
  374.72	 6.40	if um the belt of
  378.88	 4.24	utter darkness drops
  381.12	 3.76	uh or the belt of deep shadow rather if
  383.12	 3.36	this belt drops hey might as well
  384.88	 4.08	allocate some vortexes to it craft it
  386.48	 4.80	right away so it is a little confusing
  388.96	 4.00	but just give the vortexes to a tailor
  391.28	 4.48	until a pattern drops then make the
  392.96	 4.88	patterns that people need
  395.76	 3.60	okay moving past the vortexes let's get
  397.84	 3.20	into actual loot
  399.36	 4.40	first up we have the boots of unending
  401.04	 4.64	courage this is trash loot in ssc doing
  403.76	 3.92	ssc first then tempest keep after
  405.68	 3.84	obviously
  407.68	 4.24	i'm not going to dwell too much on these
  409.52	 4.00	items that are
  411.92	 2.40	you know pretty obvious who it should go
  413.52	 3.28	to
  414.32	 4.72	this should go to a holy paladin you
  416.80	 5.44	know give it to them move on
  419.04	 6.00	pendant of the perilous this is a uh
